MSG,4,111,11111,AD4036,111111,2016/02/26,12:22:00.713,2016/02/26,12:22:00.755,,,274,193,,,-256,,,,,0
MSG,5,111,11111,AD4036,111111,2016/02/26,12:22:00.724,2016/02/26,12:22:00.756,,24000,,,,,,,0,,0,0
MSG,8,111,11111,AD0D3A,111111,2016/02/26,12:22:00.725,2016/02/26,12:22:00.757,,,,,,,,,,,,
MSG,7,111,11111,A35843,111111,2016/02/26,12:22:00.729,2016/02/26,12:22:00.757,,35000,,,,,,,,,,0
MSG,4,111,11111,AA76A8,111111,2016/02/26,12:22:00.737,2016/02/26,12:22:00.758,,,449,134,,,0,,,,,0
MSG,7,111,11111,AA56D5,111111,2016/02/26,12:22:00.740,2016/02/26,12:22:00.759,,41000,,,,,,,,,,0
MSG,8,111,11111,A9653D,111111,2016/02/26,12:22:00.750,2016/02/26,12:22:00.760,,,,,,,,,,,,
MSG,8,111,11111,A24401,111111,2016/02/26,12:22:00.751,2016/02/26,12:22:00.760,,,,,,,,,,,,0
MSG,8,111,11111,AB15CA,111111,2016/02/26,12:22:00.770,2016/02/26,12:22:00.810,,,,,,,,,,,,0
MSG,4,111,11111,A73AB6,111111,2016/02/26,12:22:00.833,2016/02/26,12:22:00.865,,,426,20,,,1408,,,,,0
MSG,8,111,11111,AE54EE,111111,2016/02/26,12:22:00.866,2016/02/26,12:22:00.918,,,,,,,,,,,,0
MSG,4,111,11111,A17146,111111,2016/02/26,12:22:00.872,2016/02/26,12:22:00.919,,,409,190,,,-2304,,,,,0
MSG,8,111,11111,A17146,111111,2016/02/26,12:22:00.881,2016/02/26,12:22:00.920,,,,,,,,,,,,0
MSG,8,111,11111,A17146,111111,2016/02/26,12:22:00.895,2016/02/26,12:22:00.921,,,,,,,,,,,,0
MSG,8,111,11111,A17146,111111,2016/02/26,12:22:00.906,2016/02/26,12:22:00.922,,,,,,,,,,,,0
MSG,8,111,11111,A17146,111111,2016/02/26,12:22:00.925,2016/02/26,12:22:00.973,,,,,,,,,,,,0
MSG,7,111,11111,A35843,111111,2016/02/26,12:22:00.945,2016/02/26,12:22:00.975,,35000,,,,,,,,,,0
MSG,7,111,11111,AE58F6,111111,2016/02/26,12:22:00.946,2016/02/26,12:22:00.977,,9975,,,,,,,,,,0
MSG,8,111,11111,A73AB6,111111,2016/02/26,12:22:00.953,2016/02/26,12:22:00.978,,,,,,,,,,,,0
MSG,7,111,11111,AA56D5,111111,2016/02/26,12:22:00.953,2016/02/26,12:22:00.978,,41000,,,,,,,,,,0
